CO,CID,SID,ACTIVITY,SCORE,INHIBITION,STDDEV
1,26732475,16746541,1,100,95.11,0.206541
2,57264299,6708701,1,97,92.88,0.0959136
3,24833220,16196440,1,81,77.96,1.52839
4,4256513,630034,1,79,75.79,0.387208
5,24832178,3491105,1,76,73.14,0.751154
6,24804016,16192648,1,74,70.88,0.0706438
7,3715018,2999043,1,72,69.32,7.22928
8,49646191,777365,1,71,67.96,0.336282
9,11533069,6852411,1,69,65.93,0.329588
10,14729201,1477836,1,68,65.51,0.486865
11,862625,663859,1,68,65.47,0.489656
12,14718714,3504805,1,67,64.55,0.635426
13,47201220,23724230,1,65,62.54,0.0489574
14,17432012,6861996,1,65,62.37,16.6433
15,861001,662273,1,62,59.25,1.21882
16,24835364,3515733,1,61,58.58,1.6522
17,861720,662954,1,61,58.23,0.673844
18,57264309,25162995,1,59,56.83,0.328005
19,24818419,1487220,1,58,55.9,0.502286
20,14742465,1973720,1,58,55.75,0.420207
21,22403627,5033819,1,58,55.45,1.22405
22,56436674,24978599,1,57,55.12,0.681841
23,861006,662276,1,56,53.85,1.03755
24,861838,663060,1,56,53.27,0.357574
25,26665729,221125,1,55,52.82,0.575254
26,4254500,972317,1,55,52.72,0.495059
27,56436669,24978594,1,55,52.68,0.976244
28,49679182,1477263,1,54,51.94,0.428335
29,17402159,5152307,1,54,51.37,0.160772
30,24817954,1487221,1,53,51.05,0.334858
31,57264321,25163007,1,53,50.91,1.85957
32,861934,663159,1,53,50.71,0.842788
33,24818277,1470825,1,53,50.59,0.28038
34,17402120,3740241,1,52,50.33,0.223421
35,46500423,9896684,1,52,50.03,0.958392
36,24785464,7066845,1,52,49.99,0.510616
37,24838159,2578872,1,52,49.98,0.360167
38,56436777,24978568,1,52,49.79,0.427714
39,4244318,1513374,1,52,49.79,0.805845
40,17512880,9607467,1,52,49.74,0.380406
41,26665472,937982,1,52,49.59,1.78171
42,56436686,24983076,1,51,49.27,0.672523
43,49667533,2003392,1,51,48.95,1.10455
44,56436681,24978592,1,51,48.89,1.1118
45,49666099,1477266,1,51,48.78,0.581213
46,24791772,2452051,1,51,48.75,0.752021
47,49648949,1477230,1,51,48.72,1.28022
48,14737268,5291838,1,51,48.65,1.67073
49,4248909,68261,1,50,48.47,0.822737
50,22412344,3327313,1,50,48.31,1.28653
51,22410390,2545431,1,50,48.27,0.922996
52,17413207,5334997,1,50,48.24,1.39261
53,24817575,1487222,1,50,48.22,0.415017
54,24841426,160115,1,50,48.16,0.501873
55,49727100,5334885,1,50,48.12,1.0363
56,56322140,24981956,1,50,47.79,0.457988
57,17512642,9608279,1,50,47.73,0.965719
58,57264320,25163006,1,49,47.34,0.829356
59,24822391,135439686,1,49,47.33,1.80723
60,17509419,12004827,1,49,47.2,1.31318
61,24819891,1477242,1,49,47.2,0.378878
62,24820329,3379829,1,49,46.92,1.02597
63,24819349,4667754,1,49,46.79,0.889752
64,56436683,24978587,1,49,46.76,1.42714
65,24818013,1471776,1,48,46.27,0.442243
66,17402174,3722206,1,48,46.25,0.88064
67,57264296,93004,1,48,46.22,0.367145
68,56323306,16295797,1,48,46.1,1.14984
69,14723877,873000,1,48,46.08,0.101952
70,49666675,3792008,1,48,45.94,0.412029
71,47199245,9512029,1,48,45.92,0.77007
72,24817668,1470741,1,48,45.82,0.200606
73,17402872,1487214,1,47,45.62,0.498068
74,860397,661691,1,47,45.52,1.06434
75,24815600,7217786,1,47,45.42,1.1657
76,49817864,2909351,1,47,45.41,4.75076
77,24836667,2421475,1,47,45.4,0.529592
78,56436680,24983196,1,47,45.35,0.534021
79,24820155,1477238,1,47,45.21,0.630234
80,56436668,24983198,1,47,45.19,1.65993
81,17512881,5903656,1,46,44.32,0.848617
82,56436780,24978571,1,46,44.31,0.305278
83,24823515,16195500,1,46,44.18,0.629797
84,57264314,25163000,1,46,44.13,0.513959
85,24807929,16192872,1,46,44.06,0.910742
86,49719723,22581373,1,46,43.99,0.771285
87,24826353,2539487,1,46,43.95,0.585947
88,14725854,3224343,1,45,43.72,1.49078
89,56320471,23663996,1,45,43.47,0.594048
90,57266640,25163050,1,45,43.27,0.793607
91,24819898,1477229,1,45,43.12,1.39254
92,11532972,5283102,1,45,43.06,0.965687
93,56322291,24982028,1,45,42.93,0.582402
94,17402227,1474148,1,45,42.89,1.47937
95,56319033,16285260,1,44,42.55,1.06754
96,24815332,5199136,1,44,42.53,0.902197
97,57264505,25163023,1,44,42.47,1.15533
98,24785558,6952211,1,44,42.3,0.930068
99,14731604,6860029,1,44,42.29,0.966874
100,51085954,18567614,1,44,42.04,0.775523
101,49680840,4799115,1,44,41.91,0.645033
102,17505716,2210746,1,44,41.91,1.85431
103,26731738,2810122,1,44,41.91,0.532914
104,57264304,25162990,1,43,41.8,0.477133
105,24784581,4091590,1,43,41.66,1.64299
106,24813370,4091588,1,43,41.5,0.974505
107,57260148,25162926,1,43,41.46,0.51456
108,56323588,24982533,1,43,41.45,0.547695
109,3717109,2594234,1,43,41.36,0.27416
110,24794279,972847,1,43,41.21,0.950105
111,56436675,24983199,1,43,41.2,0.79083
112,17512845,1021114,1,43,41.2,1.45361
113,56436667,24983040,1,42,40.84,1.40851
114,14745536,2477237,1,42,40.83,0.513037
115,24826607,3923974,1,42,40.82,0.407425
116,26728828,2810507,1,42,40.79,0.605078
117,26660719,2115167,1,42,40.77,1.67579
118,17402223,1470823,1,42,40.61,0.771794
119,7970587,4357675,1,42,40.6,0.836926
120,49826011,24819122,1,42,40.51,0.118644
121,24792376,2242396,1,42,40.48,0.959958
122,49647816,936435,1,42,40.33,2.68425
123,57257640,22581360,1,42,40.3,1.46537
124,26659463,135549819,1,42,40.1,0.501719
125,7966905,726503,1,41,39.92,0.442979
126,24826365,2406282,1,41,39.79,1.2376
127,17509318,4326877,1,41,39.69,0.715132
128,4249655,2158952,1,41,39.52,0.662418
129,14746782,2580007,1,41,39.41,1.86804
130,24780293,5768784,1,41,39.36,3.44454
131,49820368,3795563,1,41,39.33,1.32244
132,14743193,4893393,1,41,39.14,0.710309
133,57264308,25162994,1,41,39.13,0.353884
134,49679815,5702699,1,41,39.08,5.91648
135,14730968,1263653,1,41,39.06,0.129468
136,49723667,2934366,1,40,38.88,5.88104
137,17402167,3847340,1,40,38.85,1.22908
138,24791440,1976446,1,40,38.81,0.786383
139,49815818,1637842,1,40,38.76,1.55576
140,24785559,7066857,1,40,38.68,2.2239
141,26666694,1838764,1,40,38.67,0.567078
142,22408473,5234533,1,40,38.41,1.40417
143,14724116,1077243,1,40,38.34,2.22354
144,49680188,135675946,1,40,38.2,1.05315
145,26663490,3794850,1,39,38.02,0.792989
146,49646259,24747455,1,39,38,1.60664
147,17402139,3846667,1,39,37.95,1.9184
148,3714055,16124,1,39,37.88,1.14776
149,26667470,649540,1,39,37.7,0.389379
150,24839485,2472087,1,39,37.63,0.654394
151,24823972,65751,1,39,37.55,1.38029
152,22407119,15945189,1,39,37.48,1.11946
153,22400821,15944722,1,39,37.48,1.43037
154,4247749,3241914,1,39,37.37,0.507783
155,26670673,601670,1,39,37.36,1.25252
156,4251622,3245283,1,39,37.36,0.742124
157,7970095,4120148,1,39,37.27,0.424244
158,4256296,2950328,1,39,37.23,1.43511
159,49648995,1477243,1,39,37.21,1.30368
160,24824742,5459628,1,39,37.21,1.05959
161,57266639,4853615,1,39,37.14,0.601475
162,56317933,17564458,1,38,37,0.709774
163,47193452,75583,1,38,36.94,0.64033
164,56436679,24978593,1,38,36.94,0.224739
165,49679708,270995,1,38,36.78,0.106979
166,4263768,976141,1,38,36.78,0.546338
167,49820154,3338549,1,38,36.75,1.03331
168,7970739,2501832,1,38,36.73,0.926652
169,85149013,44144207,1,38,36.62,0.374308
170,14746281,135446674,1,38,36.33,0.716622
171,49645946,24747373,1,38,36.3,0.694571
172,56320767,54682936,1,38,36.25,1.75929
173,49825635,135418715,1,38,36.16,0.503816
174,17386215,135490278,1,37,36.08,1.10858
175,49670065,5893424,1,37,36.03,0.0715787
176,22401475,135521476,1,37,36,1.19603
177,46500493,54687247,1,37,35.92,1.40255
178,17509187,3191766,1,37,35.91,0.576589
179,26658852,9657022,1,37,35.81,1.17426
180,49648980,1477270,1,37,35.69,0.428531
181,49825397,2910228,1,37,35.66,2.23051
182,14726352,972880,1,37,35.65,0.498755
183,56317313,18127589,1,37,35.5,0.459421
184,47193451,3218,1,37,35.28,1.0728
185,56463282,644274,1,37,35.25,1.1503
186,17511184,4154397,1,37,35.23,0.889455
187,7966122,5308032,1,37,35.23,0.990684
188,49673358,16239425,1,37,35.21,0.354024
189,49646637,1557339,1,36,35.17,1.86949
190,49714060,135693593,1,36,35.12,0.838432
191,17409307,6873208,1,36,35.1,1.06151
192,26666693,16682517,1,36,35.1,0.763757
193,24707942,5459624,1,36,35.1,0.294474
194,49816644,2918433,1,36,35.08,1.11792
195,57262495,4853613,1,36,35.01,1.28572
196,26727013,5714571,1,36,34.93,0.409409
197,14727639,1051569,1,36,34.86,0.390696
198,17409257,3458086,1,36,34.79,1.00996
199,56463066,11102,1,36,34.77,0.828421
200,56323401,16550697,1,36,34.73,0.915614
201,56436664,24978583,1,36,34.71,2.11414
202,17504833,1005290,1,36,34.7,0.67245
203,17510964,20846859,1,36,34.46,1.52642
204,22401009,2324533,1,36,34.45,0.94437
205,50086380,3514089,1,36,34.37,0.494434
206,17505362,1081350,1,36,34.34,0.397554
207,22406209,135521587,1,35,34.19,1.42725
208,17507950,1432762,1,35,34.18,0.898769
209,7968981,2051211,1,35,34.13,0.586561
210,22406054,5158786,1,35,34.13,1.73162
211,17514515,4189402,1,35,34.13,0.714323
212,51085273,2155604,1,35,34.11,1.57215
213,26725751,5417965,1,35,33.98,1.39991
214,17388622,764175,1,35,33.9,1.73265
215,22401998,4110531,1,35,33.87,0.894853
216,26725586,16745806,1,35,33.81,0.425689
217,24707826,5459631,1,35,33.81,0.408163
218,26669779,2458702,1,35,33.62,0.0393534
219,56314650,24978607,1,35,33.5,0.900249
220,50085711,4977513,1,35,33.5,0.791578
221,47193689,4971,1,35,33.48,1.57042
222,17508839,3167478,1,35,33.45,1.5709
223,26670792,6891860,1,35,33.42,1.3967
224,26657876,10298511,1,35,33.41,0.931866
225,26730544,2810970,1,35,33.36,0.498901
226,49716381,16468113,1,35,33.33,0.969912
227,4259788,2971015,1,35,33.31,1.86657
228,14737166,3269943,1,34,33.17,0.747992
229,26662262,135543905,1,34,33.15,0.70931
230,17504850,135497964,1,34,33.14,0.696882
231,17432660,9585338,1,34,33.11,0.343496
232,4245724,3240162,1,34,33.1,1.41098
233,4248979,3242988,1,34,33.08,0.553241
234,14741646,3849521,1,34,33.07,1.14338
235,24784580,4535572,1,34,33.04,0.253774
236,24781219,1547881,1,34,32.89,1.49967
237,22410790,135401277,1,34,32.86,0.608753
238,14742343,3923766,1,34,32.82,1.05489
239,4247201,3241434,1,34,32.78,1.64609
240,17385653,135490251,1,34,32.71,0.623059
241,22406886,135481361,1,34,32.71,0.284003
242,49680319,4785275,1,34,32.66,0.535369
243,49829332,3496625,1,34,32.63,0.968396
244,49816113,6389620,1,34,32.54,0.398101
245,49717536,20967299,1,34,32.54,0.347326
246,22410691,135401274,1,34,32.53,0.108466
247,57256297,4782304,1,34,32.5,1.04845
248,17514446,1646845,1,34,32.49,0.678418
249,17412451,5344088,1,34,32.46,1.18131
250,22403046,135521558,1,34,32.46,0.550279
251,26664617,272568,1,34,32.38,1.18051
252,49666619,3848313,1,34,32.34,1.08501
253,24813593,9593463,1,33,32.32,0.805348
254,24820074,1489499,1,33,32.31,1.30557
255,24817603,3343835,1,33,32.24,0.246155
256,17511781,135424475,1,33,32.23,2.98173
257,49820795,18083820,1,33,32.21,0.573773
258,4245105,3239613,1,33,32.2,0.791741
259,4243096,2155601,1,33,32.15,0.988034
260,56320128,24688073,1,33,32.1,1.0009
261,17415430,2247463,1,33,32.08,1.03058
262,50085879,5070065,1,33,32.01,0.41824
263,4242506,3237353,1,33,31.97,0.369258
264,49820432,4872167,1,33,31.91,1.10364
265,26670776,5513575,1,33,31.85,0.429819
266,864710,665951,1,33,31.85,0.578401
267,57262481,4853713,1,33,31.79,0.962283
268,22401010,2476823,1,33,31.73,0.546197
269,14728022,3647798,1,33,31.7,0.7741
270,17401828,1928929,1,33,31.65,0.385924
271,14731278,135476824,1,33,31.62,1.78228
272,17433772,1361354,1,33,31.62,0.940716
273,22401247,135521445,1,33,31.6,1.73291
274,17415931,1339742,1,33,31.53,1.05597
275,14746971,5114916,1,33,31.52,1.12864
276,17503966,135497928,1,33,31.51,1.13882
277,22400865,4625720,1,33,31.48,0.729548
278,7969304,2051205,1,33,31.47,0.604222
279,3711314,2997591,1,33,31.43,2.04421
280,22406101,4235443,1,33,31.41,1.13535
281,26657894,4969429,1,32,31.36,1.06353
282,4241128,3236147,1,32,31.35,0.48994
283,14739731,4260390,1,32,31.29,0.401331
284,49820439,24818072,1,32,31.28,1.19713
285,26726271,1608030,1,32,31.26,0.49025
286,14732523,2830804,1,32,31.21,1.28083
287,4243271,3238015,1,32,31.2,1.02399
288,17504207,135497940,1,32,31.17,0.447151
289,22403054,1946288,1,32,31.09,1.01706
290,4244705,2051214,1,32,31.05,0.193706
291,22404690,54680377,1,32,30.99,0.897217
292,49727556,24792441,1,32,30.99,1.26083
293,14741932,3786360,1,32,30.98,0.752041
294,24791540,5446512,1,32,30.97,0.475364
295,24816090,2155611,1,32,30.96,1.27053
296,22402733,135521547,1,32,30.87,0.663532
297,17509562,2268032,1,32,30.85,1.4159
298,17432341,2213709,1,32,30.81,0.653381
299,864370,665618,1,32,30.79,0.620993
300,26670529,5114397,1,32,30.79,0.881277
301,4246561,2159040,1,32,30.75,1.60864
302,14738435,750183,1,32,30.72,3.4349
303,14744346,1564171,1,32,30.66,0.439589
304,47199282,4594917,1,32,30.63,0.685085
305,56436768,24978567,1,32,30.6,0.8696
306,24820207,3269951,1,32,30.59,0.613759
307,24781196,2108163,1,32,30.52,0.84647
308,14727883,1811009,1,32,30.52,1.01622
309,57264794,9115049,1,32,30.49,0.962371
310,17503781,135430201,1,31,30.42,0.96475
311,4250600,718902,1,31,30.4,0.301734
312,24814601,16194416,1,31,30.34,0.618425
313,4247180,2155680,1,31,30.31,0.940604
314,22415076,4083369,1,31,30.26,0.871703
315,49822884,16406697,1,31,30.24,1.09931
316,49821258,3291242,1,31,30.18,1.37908
317,24791689,135433239,1,31,30.18,0.254233
318,17510462,16481194,1,31,30.15,1.45157
319,49716333,24789811,1,31,30.15,1.14649
320,56436693,24983078,1,31,30.14,0.664578
321,49714695,46496143,1,31,30.06,1.1128
322,4243157,2158923,1,31,30.04,0.380788
323,22402423,15944898,1,31,30.03,1.6175
324,56322045,7852958,1,31,29.99,0.380031
325,4241391,3236373,1,31,29.93,1.92523
326,24838962,2486837,1,31,29.9,1.56061
327,24824392,2768998,1,31,29.86,0.713707
328,4242489,2155600,1,31,29.83,0.479642
329,49735864,135616999,1,31,29.76,0.885351
330,56422551,3152779,1,31,29.69,0.74396
331,47202394,135576680,1,31,29.68,2.06338
332,56436772,24981563,1,31,29.65,1.20412
333,49820288,9635654,1,31,29.65,0.57001
334,4255655,1093278,1,31,29.55,1.34459
335,24841427,5379262,1,31,29.54,1.22206
336,852091,54676454,1,31,29.51,0.9763
337,843702,646004,1,31,29.5,0.856194
338,24823907,16001413,1,31,29.49,0.413496
339,47196686,1328639,1,30,29.44,1.74399
340,49825440,2918794,1,30,29.42,0.267122
341,24816495,2155616,1,30,29.4,1.56799
342,22409282,2405941,1,30,29.39,0.325445
343,49734151,3180432,1,30,29.36,0.8881
344,17511260,135517024,1,30,29.36,0.200807
345,47199091,6465307,1,30,29.34,0.277749
346,4248744,3242781,1,30,29.33,0.606305
347,57260153,2202,1,30,29.33,1.80788
348,56463153,200103,1,30,29.29,0.303623
349,7970468,3561768,1,30,29.22,0.271711
350,56314731,24978638,1,30,29.16,0.0497748
351,22404892,4831088,1,30,29.16,0.678999
352,49736286,20970637,1,30,29.14,1.59857
353,24784300,883715,1,30,29.08,0.441877
354,24788172,1251267,1,30,29.05,0.74205
355,24791874,2544457,1,30,29.03,1.73923
356,7971249,2104499,1,30,28.99,0.640809
357,26670349,4838219,1,30,28.99,1.48971
358,56323584,8123633,1,30,28.98,0.690552
359,24786245,135458990,1,30,28.93,1.18099
360,24782260,3157603,1,30,28.93,0.663182
361,24791720,6908412,1,30,28.91,0.73337
362,26724204,2384970,1,30,28.89,0.82967
363,49645279,826520,1,30,28.82,0.69526
364,56463695,18968508,1,30,28.74,1.30563
365,26659653,16681919,1,30,28.69,0.620268
366,4251266,2158957,1,30,28.68,0.916656
367,849608,652107,1,30,28.67,1.47946
368,49717133,20970622,1,30,28.64,0.700789
369,49829387,3531704,1,30,28.62,1.20598
370,22401994,5143923,1,29,28.52,0.739407
371,22410207,2857914,1,29,28.51,0.409771
372,57257495,7767186,1,29,28.5,0.557636
373,14742054,6407173,1,29,28.49,1.31637
374,57264311,25162997,1,29,28.47,0.476125
375,49666601,1470719,1,29,28.45,2.68769
376,14736320,4141139,1,29,28.37,0.467041
377,22410464,135401258,1,29,28.37,0.235363
378,17410803,1132512,1,29,28.31,0.708145
379,17386562,135490289,1,29,28.21,0.674772
380,22406911,135521605,1,29,28.17,0.873597
381,24779985,2101054,1,29,28.15,0.363293
382,14732959,3508287,1,29,28.14,0.176845
383,57269039,25163858,1,29,28.13,0.286538
384,14741094,135473059,1,29,28.12,0.484954
385,14733531,869152,1,29,28.07,0.756026
386,17515708,3274011,1,29,28.07,2.08219
387,17408401,11958729,1,29,27.99,2.083
388,17514639,3715796,1,29,27.93,0.720773
389,17388342,1214727,1,29,27.92,0.78306
390,7970403,4121843,1,29,27.91,1.26319
391,17508655,3178116,1,29,27.83,1.49233
392,56463027,47471,1,29,27.83,1.2707
393,14728211,9549732,1,29,27.8,0.0421248
394,7971534,5310495,1,29,27.79,0.961634
395,56422536,8605040,1,29,27.78,1.57018
396,49827054,9563827,1,29,27.75,0.963792
397,3714758,2529884,1,29,27.73,0.563038
398,14741916,4435646,1,29,27.72,0.0916033
399,864669,665910,1,29,27.63,0.58359
400,14746463,1889728,1,29,27.6,1.44015
401,24824092,73157,1,28,27.56,1.07235
402,24816606,2155656,1,28,27.53,0.509588
403,22400830,4656182,1,28,27.53,1.03545
404,49643607,1147343,1,28,27.52,1.33284
405,17412559,2877674,1,28,27.5,0.223007
406,17401706,6886605,1,28,27.5,0.738683
407,17505082,1048809,1,28,27.49,0.93651
408,24841361,2060456,1,28,27.48,1.37606
409,51090779,4294967,1,28,27.45,0.916619
410,22401595,2087168,1,28,27.44,1.60861
411,22403488,135458258,1,28,27.31,0.805854
412,26731985,16746184,1,28,27.31,0.532969
413,26670790,6891768,1,28,27.31,0.553148
414,858577,6400926,1,28,27.31,0.638702
415,57256529,16328538,1,28,27.26,1.71547
416,14736316,3373841,1,28,27.19,1.47966
417,56422501,68553,1,28,27.17,0.652156
418,26670925,6868524,1,28,27.15,0.924658
419,17511215,135419650,1,28,27.14,0.699207
420,852029,654635,1,28,27.08,1.7162
421,22416388,2934106,1,28,26.97,1.82421
422,14723473,135418010,1,28,26.93,1.83325
423,50085659,3317909,1,28,26.91,0.553854
424,24829389,2124433,1,28,26.87,0.328028
425,26662998,135526883,1,28,26.85,0.38977
426,22406339,3877688,1,28,26.84,0.813542
427,17515830,12006169,1,28,26.81,1.1456
428,4248657,2660503,1,28,26.76,1.42152
429,24789832,3152777,1,28,26.65,0.427323
430,56463118,441336,1,28,26.64,1.25094
431,17505865,135498002,1,27,26.63,0.791951
432,17513750,6862473,1,27,26.56,1.20206
433,17411624,2833688,1,27,26.55,0.800011
434,26661470,931812,1,27,26.52,2.11589
435,17433246,2945068,1,27,26.52,1.08319
436,22401527,15944791,1,27,26.51,0.60357
